Power,SolRad,OutsideTemp,SimulatedTemp
-31500,121.747536789023,24,23
-31500,101.62080717321,24,20.7703013070565
-31500,164.817387062102,24,20.6222855545822
-31500,90.2368353791463,24,20.4649297553117
-31500,74.5646867992427,24,20.2970374560433
-31500,70.2068562172911,24,20.112647887274
31500,71.2500210248161,24,19.9274714449846
-31500,99.2899781559395,24,24.4260495088113
-31500,74.4971140210557,24,20.0600330795272
-31500,37.0980367189193,24,19.9106899537078
31500,25.2756543475058,24,19.7439006727725
31500,17.2222833333333,24,24.2443961445269
31500,13.3789833333333,23.5,24.5373148769908
-31500,11.1402833333333,23.5,24.8088946622833
-31500,7.61698333333334,23,20.3869280094669
-31500,6.39541666666667,23,20.1536340713931
31500,5.45056666666666,23,19.9021485151943
-31500,4.84558333333333,23,24.3399898738799
-31500,4.46741666666667,23,19.8998220247412
31500,4.24215,23,19.6810580591713
-31500,4.08375,23,24.138762103373
31500,4.0304,23,19.7173232770982
31500,3.96396666666667,23,24.188696586063
31500,3.90061666666667,23,24.445301764664
-31500,3.8641,22.5,24.7011632459433
-31500,3.83551666666667,22.5,20.2587553403044
-31500,3.8339,22,20.0124826930736
-31500,3.81513333333333,22,19.743230927615
-31500,3.77946666666667,22,19.4663979566775
-31500,3.76386666666667,22,19.2048920924459
31500,3.76491666666667,22,18.9595745034247
31500,3.70936666666667,22,23.4060147857711
-31500,3.65323333333333,22,23.6503369165548
-31500,3.5946,22,19.2324525157833
31500,3.64828333333333,22,19.0286667598602
-31500,3.66321666666667,22,23.4927142872466
-31500,3.57186666666667,22,19.0734843712116
31500,3.64793333333333,22,18.8701352843317
-31500,3.58973333333333,22,23.338805934537
-31500,3.5531,22,18.9222556662278
31500,3.41871666666667,22,18.7221662463736
31500,3.3585,22,23.193994208242
-31500,3.398,22,23.4551825278849
31500,3.45073333333333,22,19.0486369357542
31500,3.46098333333333,22,23.5244923340452
31500,3.4831,22,23.7759178157396
-31500,3.51361666666667,22,24.022628652287
-31500,3.445,22,19.5957635733484
31500,3.445,21,19.382023916031
-31500,3.39,21,23.7829904309262
-31500,3.345,20,19.2697753614311
-31500,3.39,20,18.9404046312607
-31500,3.49,20,18.6085344329171
-31500,3.345,20,18.3030448337563
31500,3.37,20,18.0228899333075
-31500,3.355,20,22.434789770078
31500,3.35,20,17.9753763349155
-31500,3.34,20,22.4140402766016
31500,3.4,20,17.9725082647392
31500,3.305,20,22.423663807127
-31500,3.345,19.5,22.6610058086975
31500,3.4,19.5,18.2070943879694
31500,3.3,19,22.6219221480422
-31500,3.27,19,22.807021711008
31500,3.29,19,18.3129916134484
-31500,3.22,19,22.7154139889214
31500,3.365,19,18.2338252633425
31500,3.435,19,22.6456979971246
-31500,3.295,19,22.8484857470789
-31500,3.29,19,18.3805662727563
31500,3.355,19,18.1195965036131
-31500,3.305,19,22.52935636043
31500,3.305,19,18.0568292327894
