Power,SolRad,OutsideTemp,SimulatedTemp
-31500,57.9365823228864,22,23
-31500,54.9144429712576,22,20.5853669601712
-31500,73.944706481868,22,20.3009223218877
-31500,76.2063338872856,22,20.0346467531238
-31500,65.1200569599485,22,19.7860638580931
-31500,46.7190070919696,22,19.5505543116812
31500,35.0290274610061,22,19.3237755075485
-31500,25.0863954946621,22,23.7784440285998
-31500,16.8869514810259,22,19.3549934063949
-31500,13.1605643562894,22,19.1524150663059
31500,12.066,22,18.9489940146785
31500,11.9823,22,23.423280823633
31500,9.91263333333334,21.5,23.6873380899109
-31500,6.8523,21.5,23.9301792552977
-31500,5.50663333333333,21,19.4857051989962
-31500,4.74186666666667,21,19.2392184875701
31500,4.30596666666667,21,18.9800197796516
-31500,4.05993333333334,21,23.4000943589681
-31500,3.863,21,18.9471203964239
31500,3.74326666666667,21,18.7221966621263
-31500,3.68016666666667,21,23.1701237763053
31500,3.58716666666667,21,18.7367745503276
31500,3.57166666666667,21,23.1947511348383
31500,3.55403333333333,21,23.4362828511023
-31500,3.5464,21,23.6830478601823
-31500,3.50583333333333,21,19.2541271674042
-31500,3.50753333333333,21,19.0321664994269
-31500,3.50246666666667,21,18.8086108406548
-31500,3.4619,21,18.5859074912268
-31500,3.48473333333333,21,18.365546778069
31500,3.43986666666667,21,18.1493152896353
31500,3.42103333333334,21,22.6124592422537
-31500,3.39623333333334,21,22.8663305881275
-31500,3.34423333333333,21,18.4561171198048
31500,3.36563333333333,21,18.2615461963451
-31500,3.41033333333333,21,22.7323047904613
-31500,3.42143333333333,21,18.3177281178491
31500,3.29616666666667,21,18.1194561190291
-31500,3.27953333333333,21,22.5907613415038
-31500,3.25896666666667,20.5,18.1770841633627
31500,3.26576666666667,20.5,17.9575011323644
31500,3.2679,20,22.3945208984896
-31500,3.2449,20,22.5986340916825
31500,3.21463333333333,20,18.1300243521252
31500,3.20633333333334,20,22.5588749286668
31500,3.21446666666667,20,22.7786088568709
-31500,3.21723333333333,20,23.0057927590554
-31500,3.20813333333334,20,18.5592885934968
31500,3.0879,19.5,18.3214342011988
-31500,3.1333,19.5,22.72673839907
-31500,3.14456666666667,19,18.2340202533717
-31500,3.01613333333333,19,17.9472061206997
-31500,2.9551,19,17.6548691850161
-31500,3.19143333333333,19,17.3806926893889
31500,3.1925,19,17.1272759080193
-31500,3.11463333333333,19,21.5553062698584
31500,3.10843333333333,19,17.1084745442318
-31500,3.0686,19,21.5599827168616
31500,2.9901,19,17.127037294622
31500,2.94113333333333,19,21.5862446869481
-31500,2.9665,18.5,21.8312923520557
