Power,SolRad,OutsideTemp,SimulatedTemp
-31500,144.839280860015,29,23
-31500,132.824142022971,28.5,21.2024388620151
-31500,122.490086630175,28.5,21.3317486260707
-31500,112.460760679708,28,21.3387891743317
-31500,102.264951537967,28,21.2655280888061
-31500,89.748786176283,28,21.1515699825541
31500,75.851069399689,28,21.032077241358
-31500,64.5109312842187,28,25.5925916827774
-31500,40.4587693872401,28,21.269879174717
-31500,26.1540908873144,28,21.1476859287959
31500,23.0404417530608,28,21.0101466293627
31500,20.4558082088888,28,25.5521143252537
31500,17.8852,28,25.8940306749904
-31500,15.723,27.5,26.2400352346499
-31500,13.8168333333333,27.5,21.8756942737827
-31500,11.4209333333333,27,21.6916128518267
31500,9.152,27,21.4768796478559
-31500,7.50633333333333,27,25.9381474986596
-31500,6.37906666666667,27,21.5250574700176
31500,5.56073333333334,27,21.3298991729537
-31500,4.96503333333333,27,25.8183279153259
31500,4.59056666666667,27,21.4233118190519
31500,4.41603333333333,27,25.9225044973168
31500,4.33416666666666,27,26.2141434731406
-31500,4.24076666666667,27,26.5083789192572
-31500,4.21976666666667,26,22.1188500211799
-31500,4.14543333333334,26,21.8787293150203
-31500,4.11923333333333,25,21.6033641814392
-31500,4.1144,25,21.3016843921975
-31500,4.08593333333333,25,20.9933224675878
31500,4.0408,25,20.7179250015388
31500,4.01763333333333,25,25.1531135910998
-31500,3.96036666666667,25,25.3985277613824
-31500,3.9621,25,20.9816370555942
31500,3.9391,25,20.776267700806
-31500,3.9139,25,25.244260506283
-31500,3.91453333333334,25,20.8292379564889
31500,3.92116666666667,25.5,20.627814324786
-31500,3.9165,25.5,25.1237740933962
-31500,3.86023333333333,26,20.7505343374463
31500,3.851,26,20.602016555412
31500,3.8606,26,25.1333542655373
-31500,3.86806666666667,26,25.4477431453275
31500,3.86873333333333,26,21.0811953011182
31500,3.84163333333333,26,25.5906046039461
31500,3.8181,26,25.8801002669332
-31500,3.7429,26,26.1668377777617
-31500,3.7442,26,21.7685556233542
31500,3.6798,26,21.5663277040747
-31500,3.7271,25.5,26.0289617374416
-31500,3.75883333333334,25.5,21.5811035546973
-31500,3.76066666666667,25,21.334989762278
-31500,3.7621,25,21.0712033266782
-31500,3.69666666666667,25,20.8040778498212
31500,3.7026,25,20.5574240029982
-31500,3.71786666666666,25,25.0080463397905
31500,3.69083333333333,25,20.5890817587078
-31500,3.6891,25,25.0681286337955
31500,3.68553333333334,24,20.6619413359445
31500,3.66173333333333,24,25.1000778853107
-31500,3.63743333333333,23,25.3031988020464
31500,3.66433333333333,23.5,20.8053693839832
31500,3.64193333333333,23.5,25.1949713031957
-31500,3.6457,24,25.4027840137698
31500,3.59056666666667,24,20.9732566710558
-31500,3.58386666666666,24,25.4433946088811
31500,3.55473333333333,24,21.0141984889727
31500,3.5592,24,25.4676096983741
-31500,3.5242,24,25.699266379726
-31500,3.52706666666666,24,21.2601545532739
31500,3.53166666666667,24,21.0299943192851
-31500,3.537,24,25.4662011739317
