Power,SolRad,OutsideTemp,SimulatedTemp
-31500,133.594374196534,30,23
-31500,122.348474053585,30,21.2814118497441
-31500,111.705084695434,29.5,21.4847814398297
-31500,100.849876338809,29.5,21.537285189283
-31500,90.4271494716798,29,21.5021310862963
-31500,83.180246803401,29,21.4127337053866
31500,72.3839480343986,29,21.2955837442903
-31500,60.7420732384343,29,25.8642242962748
-31500,39.3190901587391,29,21.549203343915
-31500,30.0881106921764,29,21.4370308134384
31500,26.6395044872426,29,21.3111187472887
31500,23.3908743965004,29,25.8655355191091
31500,19.8032,29,26.2204561635913
-31500,16.7495333333333,29,26.5801050395903
-31500,14.2208,28,22.2492372279952
-31500,11.6216666666667,28,22.0614637090578
31500,9.25656666666667,27,21.8354944644817
-31500,7.5267,27,26.2666698831825
-31500,6.40176666666666,27,21.800372018165
31500,5.56786666666667,27,21.5697817807924
-31500,5.0349,27,26.0302755326746
31500,4.85186666666667,27,21.6186512752762
31500,4.6395,27,26.1052662805653
31500,4.56143333333333,27,26.3845882034759
-31500,4.46193333333334,27,26.6688604485592
-31500,4.40663333333333,27,22.2705119020732
-31500,4.32876666666667,26.5,22.0689089921783
-31500,4.27756666666667,26.5,21.8319060208158
-31500,4.263,26,21.5817683453979
-31500,4.21256666666666,26,21.3238919635204
31500,4.17726666666667,26,21.0680538854142
31500,4.12443333333333,26,25.5160385686821
-31500,4.12373333333333,26,25.7777871454379
-31500,4.1226,26,21.3770398514824
31500,4.05,26,21.1828200342476
-31500,3.94163333333334,26,25.6607487443942
-31500,4.05383333333333,26,21.2557953313547
31500,4.0505,26,21.0622281597131
-31500,3.99943333333333,25.5,25.545746672336
-31500,3.92176666666667,25.5,21.1223197778485
31500,3.94223333333334,25,20.8992727974245
31500,3.88543333333333,25,25.337604335133
-31500,3.84543333333333,25,25.5677286129789
31500,3.834,25,21.1390109822184
31500,3.79226666666667,25,25.6015280973593
31500,3.7978,25,25.8513194129609
-31500,3.77526666666666,25,26.1035770257711
-31500,3.8383,25,21.6781448758225
31500,3.80806666666667,25,21.4560469704589
-31500,3.79203333333333,25,25.8990830836014
-31500,3.67686666666667,24.5,21.4571610361107
-31500,3.66313333333333,24.5,21.2072410424164
-31500,3.64326666666667,24,20.9422804246673
-31500,3.6115,24,20.6672499981686
31500,3.67846666666667,24,20.3959000677683
-31500,3.65323333333333,24,24.8227211402701
31500,3.6433,24,20.3839553406767
-31500,3.62513333333333,24,24.8447643718879
31500,3.57806666666667,24,20.4243549439584
31500,3.5606,24,24.8949039301329
-31500,3.56513333333333,24,25.1521740228348
31500,3.565,24,20.7386430703278
31500,3.57016666666667,24,25.2055994366395
-31500,3.52903333333333,24,25.4526971071172
31500,3.49603333333333,24,21.0272283158797
-31500,3.57663333333333,24,25.4820827233764
31500,3.6214,24,21.0442038557033
31500,3.57186666666667,24,25.491034541514
-31500,3.5587,24,25.7195145047684
-31500,3.5151,24,21.2785697428864
31500,3.58876666666667,24,21.0481457277729
-31500,3.5409,24,25.4854878073046
31500,3.54036666666667,24,21.0374560140909
31500,3.52336666666667,24,25.480593176691
-31500,3.55593333333333,24,25.7076575682303
-31500,3.58006666666667,24,21.2662509159333
-31500,3.5311,24,21.0359433656159
-31500,3.53506666666666,24,20.7989890144558
31500,3.4746,24,20.5615215255771
31500,3.4612,24,25.0055600530753
31500,3.47836666666667,24,25.2473447169059
31500,3.4494,24,25.4964998138693
31500,3.41966666666667,24,25.7403163682125
-31500,3.4192,24,25.9731536687392
31500,3.403,24,21.533518835531
31500,3.35046666666667,24,25.9731528453237
-31500,3.3599,23.5,26.1833112115081
31500,3.3623,23.5,21.6987363810024
31500,3.3357,23,26.0878942372462
31500,3.3438,23,26.2357817526724
31500,3.29906666666667,23,26.3871945063836
-31500,3.36226666666667,23,26.5507418091498
31500,3.37816666666666,23,22.0453771028627
-31500,3.3941,23,26.4251890147016
31500,3.38486666666667,23,21.917752846813
31500,3.3891,23,26.3013656843771
31500,3.3765,23,26.4752141763093
-31500,3.35766666666667,23,26.6577174327125
31500,3.3393,22.5,22.1621125231731
-31500,3.33283333333333,22.5,26.5273913076948
-31500,3.34766666666666,22,21.9895872635632
-31500,3.33336666666667,22,21.6535862613058
31500,3.31876666666667,22,21.3111673244578
-31500,3.33396666666667,22,25.6651004521825
-31500,3.28303333333333,22,21.1488880779522
-31500,3.24043333333334,22,20.8619603572229
-31500,3.2334,22,20.5837556453849
31500,3.29046666666667,22,20.3184807207166
31500,3.2655,22,24.7343265872729
-31500,3.2893,22,24.9478544607053
31500,3.34873333333333,22,20.4993410515934
31500,3.38633333333333,22,24.9384379486628
-31500,3.56366666666666,22,25.1628204865459
-31500,3.88443333333333,22,20.712920028608
-31500,4.46113333333334,22,20.4728436829727
31500,5.27623333333333,22,20.228866932967
31500,6.5888,22,24.6581664990031
31500,8.83063333333333,22,24.8794258558559
31500,11.7446333333333,22,25.1104584346919
-31500,14.7450666666667,22,25.3464593729451
-31500,17.5887666666667,22,20.9015101472858
31500,21.5033666666667,22,20.657950513431
31500,29.4346333333333,21.5,25.079741505003
31500,36.526977639201,21.5,25.2694535805107
-31500,43.6448922745104,21,25.4602440183812
-31500,50.8942117546211,21,20.9650390470633
31500,58.4325115676565,21,20.6690341305315
31500,67.1647681164121,21,25.0553012361258
-31500,75.8698619869289,21,25.2472126958582
-31500,84.4376491662807,21,20.7768543680642
-31500,93.3793471498908,21,20.5173406107663
31500,102.686194809271,21,20.2558338800395
-31500,112.942441067455,21,24.677208626393
31500,123.262038669012,21,20.223517279227
31500,134.400643729108,21,24.6670435895737
-31500,146.884549139353,21,24.9052238436104
31500,158.988106200154,21,20.4741846452426
-31500,170.919946581968,21,24.9276839508999
-31500,182.91356670968,21,20.490565070542
31500,196.73836497359,21,20.2638533721636
-31500,211.811423645574,21,24.7113695784711
-31500,224.841864209073,21,20.2790917344283
-31500,236.73523766319,21,20.0639864382656
31500,249.160020389646,21,19.8486348315625
-31500,261.700546518503,21,24.317029197036
31500,274.738765167855,21,19.9044542993613
-31500,288.1166541034,21,24.3912173646431
-31500,302.063004559244,21,19.9882747663264
31500,315.427651591454,21,19.8006966892607
-31500,328.789365628384,21,24.2889094402664
31500,342.984336035738,21,19.8926817292663
-31500,356.763734470346,21,24.3894876975757
31500,369.6986992951,21,19.9974231918666
-31500,382.62020609162,21,24.4953129686197
-31500,396.329334891298,21,20.1026509063749
31500,409.893561211881,21,19.9206458456653
31500,422.678993870505,21,24.4110796898609
31500,435.971214470384,21,24.6974710708914
-31500,448.618093388582,22.5,24.9926134254007
31500,463.034474695232,22.5,20.6733221189519
